country,total_co2,mean_co2,std_co2,years_count,pc1,pc2,cluster
Malawi,55.888,0.7552432432432432,0.39332505330382994,74,-0.6584143669228579,-0.6085111418858842,0
Malaysia,6771.2699999999995,50.91180451127819,82.62384788372549,133,-0.23840759618328877,0.5721698657488202,2
Maldives,30.998,0.5848679245283019,0.6374137057050229,53,-0.7776986202692627,-1.037185535614372,0
Mali,93.059,1.431676923076923,1.881770676348578,65,-0.7083542118013875,-0.7925597561529321,0
Malta,109.545,1.4803378378378378,0.9351914795806219,74,-0.6576167179089903,-0.6087334504783279,0
Marshall Islands,3.8609999999999998,0.12065624999999999,0.024800636535795718,32,-0.8975411365049819,-1.465702890581223,0
Mauritania,93.346,1.4360923076923078,1.3324719828559826,65,-0.7086049140409142,-0.7924888965032343,0
Mauritius,127.715,1.7258783783783784,1.546601656418255,74,-0.6571488039173424,-0.6088646257074284,0
Mexico,21590.755,128.51639880952382,169.75079983419513,168,0.08683898344316145,1.2514780719640832,2
Micronesia (country),4.723,0.14759375,0.02449076109540612,32,-0.8975244037904279,-1.4657075354224018,0
Middle East (GCP),77454.605,445.141408045977,772.3375419199334,174,0.737332077719176,1.2020182363913494,2
Moldova,1353.893,8.058886904761906,11.416722358815187,168,-0.11179534301331405,1.30678132017036,2
Mongolia,823.008,11.121729729729731,12.852557940915242,74,-0.6448323263418794,-0.6123049498570526,0
Montenegro,111.814,0.873546875,0.862026369870645,128,-0.35137041155712556,0.4937050607565484,2
Montserrat,1.657,0.026725806451612905,0.013334497789800233,62,-0.7272727749918515,-0.8532737744827673,0
Morocco,1946.005,20.27088541666667,21.889664535367896,96,-0.5074815195880256,-0.16666739847360537,0
Mozambique,200.78300000000002,2.0699278350515464,2.1340065372411523,97,-0.525886023154639,-0.1395371504220201,0
Myanmar,692.938,7.2181041666666665,7.946713957723481,96,-0.5246526264277488,-0.16187878396594987,0
Namibia,89.563,2.7140303030303032,1.0307272458332661,33,-0.8897654874611317,-1.4458738904772184,0
Nauru,5.027,0.08378333333333333,0.03653746239398805,60,-0.7385769301785572,-0.8941154812764529,0
Nepal,210.325,2.8422297297297296,4.39131823296987,74,-0.6549914134189755,-0.6094694966235708,0
Netherlands,12127.335000000001,69.6973275862069,66.6959706588716,174,0.01328957849473296,1.4039781776247628,2
New Caledonia,166.468,2.2495675675675675,1.4523119695905287,74,-0.6567972023861929,-0.6089617501195813,0
New Zealand,1978.2450000000001,11.369224137931035,12.338269427901281,174,-0.07364784503981796,1.4281349637631884,2
Nicaragua,192.766,1.2517272727272726,1.7433160583732532,154,-0.2028966732726452,1.0242237399551475,2
Niger,56.857,0.7683378378378378,0.7606738230832109,74,-0.6582346787486052,-0.6085618613692189,0
